Date,Brooks 100SCCM [mLn/min],Brooks 2.5SLM [mLn/min],Bronkhorst 100SCCM [mLn/min], Bronkhorst 2.5SLM[mLn/min]
2024-12-13 12:38:54,12.68,2217.00,14.999560356140137,2250.0226497650146
2024-12-13 12:38:59,12.68,2217.00,15.005838394165039,2250.025510787964
2024-12-13 12:39:04,12.78,2217.00,15.002311706542969,2249.948263168335
2024-12-13 12:39:09,12.68,2219.44,15.002053260803223,2249.917507171631
2024-12-13 12:39:14,12.78,2226.77,15.007279396057129,2249.990224838257
2024-12-13 12:39:19,12.78,2226.77,15.007495880126953,2249.9256134033203
2024-12-13 12:39:24,12.68,2217.00,15.005780220031738,2249.9513626098633
2024-12-13 12:39:29,12.78,2217.00,15.000391006469727,2249.9208450317383
2024-12-13 12:39:34,12.68,2217.00,15.004996299743652,2249.886989593506
2024-12-13 12:39:39,12.68,2217.00,15.009140014648438,2249.955177307129
2024-12-13 12:39:44,12.68,2217.00,15.00624942779541,2249.917507171631
2024-12-13 12:39:49,12.78,2226.77,15.006632804870605,2249.8488426208496
2024-12-13 12:39:55,12.68,2217.00,15.008280754089355,2249.8695850372314
2024-12-13 12:40:00,12.68,2219.44,15.008933067321777,2249.9356269836426
2024-12-13 12:40:05,12.68,2217.00,15.007584571838379,2249.9983310699463
2024-12-13 12:40:10,12.68,2217.00,14.99804401397705,2250.0879764556885
2024-12-13 12:40:15,12.68,2214.56,14.9942045211792,2249.966621398926
2024-12-13 12:40:20,12.68,2212.12,14.997576713562012,2250.051259994507
2024-12-13 12:40:25,12.68,2221.88,14.99464225769043,2250.1072883605957
2024-12-13 12:40:30,12.68,2217.00,14.991582870483398,2250.194549560547
2024-12-13 12:40:35,12.68,2217.00,14.99032974243164,2250.0908374786377
2024-12-13 12:40:40,12.48,2214.56,14.986836433410645,2250.128746032715
2024-12-13 12:40:45,12.68,2217.00,14.993715286254883,2250.0367164611816
2024-12-13 12:40:50,12.78,2217.00,14.991619110107422,2250.103712081909
2024-12-13 12:40:55,12.78,2217.00,14.987994194030762,2250.0674724578857
2024-12-13 12:41:00,12.68,2217.00,14.996005058288574,2250.1115798950195
2024-12-13 12:41:05,12.78,2217.00,14.996541023254395,2250.1721382141113
2024-12-13 12:41:10,12.68,2217.00,14.991617202758789,2250.1564025878906
2024-12-13 12:41:15,12.68,2217.00,14.994601249694824,2250.1320838928223
2024-12-13 12:41:20,12.68,2217.00,14.996673583984375,2249.979257583618
2024-12-13 12:41:25,12.78,2226.77,15.00387191772461,2249.9518394470215
2024-12-13 12:41:30,12.78,2226.77,15.005990982055664,2249.9215602874756
2024-12-13 12:41:35,12.78,2226.77,15.01078987121582,2250.0030994415283
2024-12-13 12:41:40,12.78,2226.77,15.005579948425293,2249.9020099639893
